Year,State,County,Latitude,Longitude,Mintemp
1997,NV,Nye,37.966378999999996,116.459047,258.06212545204755
1997,CA,Inyo,36.561977,117.403927,265.45449933235994
1997,CA,San Bernardino,34.85722,116.181197,270.099563678631
1997,AZ,Navajo,35.390934,110.320908,257.4651644558215
1997,AZ,Apache,35.385845,109.493747,255.67002470845557
1997,ME,Oxford,44.494585,70.734688,246.767660673291
1997,ME,Penobscot,45.390602,68.657487,245.77968423217305
1997,ME,Somerset,45.507482,69.97604,243.62412263797341
1997,ME,Aroostook,46.727057,68.64941,240.0660551981213
1997,MN,St. Louis,47.583852,92.463645,238.85883124837704
1997,MT,Custer,46.261480999999996,105.55050800000001,242.22281388943912
1997,MT,Rosebud,46.161734,106.701953,240.98361235180494
1997,MT,Valley,48.365713,106.68788300000001,237.5919950425273
1997,MT,Garfield,47.281174,106.982212,241.3026723435357
1997,MT,Big Horn,45.407869,107.51816299999999,241.3620571095029
1997,WY,Park,44.492387,109.593598,243.83159032467208
1997,MT,Park,45.421904999999995,110.532798,240.588376769262
1997,MT,Beaverhead,45.133863,112.89286899999999,241.89016400684673
1997,MT,Gallatin,45.535559,111.17344299999999,240.1211777931073
1997,MT,Powell,46.844225,112.9311,241.47218980457717
1997,MT,Lewis and Clark,47.122133000000005,112.382954,241.19496331324447
1997,MT,Flathead,48.314696000000005,114.05431899999999,245.953158936316
1997,ID,Idaho,45.849237,115.467376,246.4597796176432
1997,ID,Valley,44.771532,115.637875,245.94558294811387
1997,ID,Lemhi,44.928789,113.887841,241.4371462593087
1997,ID,Custer,44.273340999999995,114.252251,242.37272316899623
1997,ID,Elmore,43.394826,115.470751,252.18159539038132
1997,OR,Malheur,43.1877,117.603976,255.1132651730489
1997,ID,Owyhee,42.593063,116.142655,252.82332886791463
1997,OR,Harney,43.064355,118.985949,254.07701763363946
1997,OR,Douglas,43.285903999999995,123.15438,263.7135606796482
1997,OR,Lane,43.928276000000004,122.897678,262.5286169462913
1997,OR,Lake,42.788401,120.38978999999999,255.045245606166
1997,OR,Klamath,42.683761,121.64616799999999,255.86525557472675
1997,CA,Siskiyou,41.587986,122.53328700000002,260.00250069446565
1997,CA,Trinity,40.647724,123.11440400000001,262.95041707891085
1997,CA,Humboldt,40.706672999999995,123.92581799999999,270.1869460904104
1997,CA,Mendocino,39.432388,123.442881,269.22536189173985
1997,CA,Monterey,36.240107,121.315573,271.13166803356967
1997,CA,Fresno,36.761006,119.655019,265.5652140500971
1997,CA,Shasta,40.760521999999995,122.04355,262.6272018501338
1997,CA,Lassen,40.721089,120.629931,255.46557874827843
1997,NV,Washoe,40.703311,119.710315,255.07717964071568
1997,NV,Humboldt,41.407914,118.12759199999999,253.57935583940602
1997,NV,Eureka,39.977788000000004,116.272208,254.57533150300875
1997,NV,Lander,39.900211,117.04723999999999,255.59922039820603
1997,NV,Elko,41.141133,115.351424,253.54963073029134
1997,NV,White Pine,39.417804,114.900945,254.4080397368324
1997,NV,Lincoln,37.634605,114.863037,259.5157196918144
1997,CA,Mono,37.915836,118.87516699999999,252.54854895583043
1997,AZ,Mohave,35.717705,113.74968899999999,265.8486196477992
1997,NV,Clark,36.214236,115.013819,267.90499283472644
1997,AZ,Yuma,32.773942,113.910905,272.4876680672682
1997,CA,Riverside,33.729828000000005,116.00223899999999,271.83053417281843
1997,CA,Los Angeles,34.196397999999995,118.26186200000001,272.4918328803771
1997,CA,Ventura,34.358742,119.13314299999999,270.1597921295022
1997,CA,Kern,35.346629,118.729506,268.7357663826229
1997,CA,Santa Barbara,34.537378000000004,120.03848500000001,272.005314096288
1997,TX,Pecos,30.770894000000002,102.71986,260.1190690437236
1997,CO,Las Animas,37.318831,104.04411,249.1937115229956
1997,NM,Chaves,33.361605,104.469837,257.2873888807594
1997,NM,Cibola,34.93205,108.00025500000001,255.6325821130536
1997,AZ,Pima,32.128237,111.783018,269.7550780099608
1997,AZ,Maricopa,33.346540999999995,112.495534,271.136951099837
1997,AZ,Coconino,35.829692,111.773728,257.718601713527
1997,UT,Kane,37.275118,111.81541299999999,257.8260414847266
1997,UT,San Juan,37.623064,109.78931999999999,257.8964856544594
1997,NM,Rio Arriba,36.509669,106.693983,254.37268185914328
1997,CO,Garfield,39.599352,107.90978,253.4943111910441
1997,CO,Rio Blanco,39.972606,108.20068500000001,252.06758762246884
1997,UT,Garfield,37.831621999999996,111.45088600000001,256.26113812749696
1997,UT,Juab,39.710827,112.79426200000002,255.56051184611758
1997,UT,Uintah,40.125887,109.517748,252.95957581194224
1997,WY,Lincoln,42.228788,110.679842,246.1389585958264
1997,WY,Fremont,43.055303,108.605531,245.1028176033305
1997,WY,Sweetwater,41.660339,108.875676,245.86617259426004
1997,WY,Carbon,41.703590000000005,106.933153,245.75145164830448
1997,NE,Cherry,42.566984999999995,101.072622,244.04201391797432
1997,SD,Pennington,44.002349,102.823802,244.58111705580689
1997,FL,Monroe,25.601043,81.206777,274.40669468272665
1997,NY,Suffolk,40.943554,72.69221800000001,259.5630553900272
1997,ME,Hancock,44.564906,68.370703,249.81744114136768
1997,ME,Washington,44.967009000000004,67.60935400000001,247.47067558992282
1997,ME,Franklin,44.973012,70.444727,244.91221779715846
1997,ME,Cumberland,43.808347999999995,70.330375,250.99486669073036
1997,NH,Grafton,43.926488,71.842264,247.306465445188
1997,VT,Caledonia,44.468790999999996,72.11216800000001,244.7645083710596
