Year,State,County,Latitude,Longitude,Meanprec
1997,NV,Nye,37.966378999999996,116.459047,217.03195026769632
1997,CA,Inyo,36.561977,117.403927,165.19796086593442
1997,CA,San Bernardino,34.85722,116.181197,157.19329342527035
1997,AZ,Navajo,35.390934,110.320908,326.0619438201814
1997,AZ,Apache,35.385845,109.493747,379.18934505767197
1997,ME,Oxford,44.494585,70.734688,1109.4460348328155
1997,ME,Penobscot,45.390602,68.657487,977.379862227565
1997,ME,Somerset,45.507482,69.97604,964.9457769334863
1997,ME,Aroostook,46.727057,68.64941,920.6582838194797
1997,MN,St. Louis,47.583852,92.463645,592.999702548189
1997,MT,Custer,46.261480999999996,105.55050800000001,323.22898123473334
1997,MT,Rosebud,46.161734,106.701953,344.8549418749608
1997,MT,Valley,48.365713,106.68788300000001,291.13805477828134
1997,MT,Garfield,47.281174,106.982212,296.69592371805453
1997,MT,Big Horn,45.407869,107.51816299999999,468.8199783783706
1997,WY,Park,44.492387,109.593598,686.7306134547039
1997,MT,Park,45.421904999999995,110.532798,809.5741857276147
1997,MT,Beaverhead,45.133863,112.89286899999999,591.6858287225319
1997,MT,Gallatin,45.535559,111.17344299999999,765.4238185688506
1997,MT,Powell,46.844225,112.9311,711.7315069770758
1997,MT,Lewis and Clark,47.122133000000005,112.382954,634.8620372291012
1997,MT,Flathead,48.314696000000005,114.05431899999999,1026.775331953904
1997,ID,Idaho,45.849237,115.467376,1111.3395350411163
1997,ID,Valley,44.771532,115.637875,887.6345356280948
1997,ID,Lemhi,44.928789,113.887841,604.2313409727296
1997,ID,Custer,44.273340999999995,114.252251,596.6973368979446
1997,ID,Elmore,43.394826,115.470751,487.8507262225707
1997,OR,Malheur,43.1877,117.603976,283.0611837308058
1997,ID,Owyhee,42.593063,116.142655,305.7320857451941
1997,OR,Harney,43.064355,118.985949,308.9635356018144
1997,OR,Douglas,43.285903999999995,123.15438,1328.220174430777
1997,OR,Lane,43.928276000000004,122.897678,1659.4843777571646
1997,OR,Lake,42.788401,120.38978999999999,336.2245169979008
1997,OR,Klamath,42.683761,121.64616799999999,656.8944620653136
1997,CA,Siskiyou,41.587986,122.53328700000002,966.3480066269568
1997,CA,Trinity,40.647724,123.11440400000001,1327.310956049778
1997,CA,Humboldt,40.706672999999995,123.92581799999999,1660.9677427605936
1997,CA,Mendocino,39.432388,123.442881,1277.6100379663494
1997,CA,Monterey,36.240107,121.315573,545.4211918098066
