Year,State,County,Latitude,Longitude,Maxtemp
1997,NV,Nye,37.966378999999996,116.459047,307.62773232280693
1997,CA,Inyo,36.561977,117.403927,312.0882415662705
1997,CA,San Bernardino,34.85722,116.181197,315.61107218620293
1997,AZ,Navajo,35.390934,110.320908,308.835706957739
1997,AZ,Apache,35.385845,109.493747,307.1542463368085
1997,ME,Oxford,44.494585,70.734688,302.5053783105634
1997,ME,Penobscot,45.390602,68.657487,304.76879313534215
1997,ME,Somerset,45.507482,69.97604,302.1449393273445
1997,ME,Aroostook,46.727057,68.64941,303.8155979593999
1997,MN,St. Louis,47.583852,92.463645,304.59647094834526
1997,MT,Custer,46.261480999999996,105.55050800000001,310.84350984302716
1997,MT,Rosebud,46.161734,106.701953,309.8401408232576
1997,MT,Valley,48.365713,106.68788300000001,308.6947398421302
1997,MT,Garfield,47.281174,106.982212,310.19477919647574
1997,MT,Big Horn,45.407869,107.51816299999999,307.9097804188292
1997,WY,Park,44.492387,109.593598,299.4516777340846
1997,MT,Park,45.421904999999995,110.532798,300.32685431887364
1997,MT,Beaverhead,45.133863,112.89286899999999,300.2353758451432
1997,MT,Gallatin,45.535559,111.17344299999999,301.34261603464955
1997,MT,Powell,46.844225,112.9311,301.82537161939337
1997,MT,Lewis and Clark,47.122133000000005,112.382954,302.738626444616
1997,MT,Flathead,48.314696000000005,114.05431899999999,302.9712943349681
1997,ID,Idaho,45.849237,115.467376,303.7864887573521
1997,ID,Valley,44.771532,115.637875,302.2436303514743
1997,ID,Lemhi,44.928789,113.887841,301.50528636145265
1997,ID,Custer,44.273340999999995,114.252251,300.50610418034665
1997,ID,Elmore,43.394826,115.470751,307.3051737835088
1997,OR,Malheur,43.1877,117.603976,308.34464767004806
1997,ID,Owyhee,42.593063,116.142655,308.13677053954
1997,OR,Harney,43.064355,118.985949,306.8822728069765
1997,OR,Douglas,43.285903999999995,123.15438,305.45979089608835
1997,OR,Lane,43.928276000000004,122.897678,304.6908191295287
1997,OR,Lake,42.788401,120.38978999999999,306.79594652332827
1997,OR,Klamath,42.683761,121.64616799999999,306.0650340517206
1997,CA,Siskiyou,41.587986,122.53328700000002,306.80925736151346
1997,CA,Trinity,40.647724,123.11440400000001,308.68748949593936
1997,CA,Humboldt,40.706672999999995,123.92581799999999,305.65152855687325
1997,CA,Mendocino,39.432388,123.442881,308.9232762684818
1997,CA,Monterey,36.240107,121.315573,311.0332198989997
1997,CA,Fresno,36.761006,119.655019,310.43186809606857
